Network|Station|Latitude|Longitude|Elevation|Sitename|StartTime|EndTime
AK|ANM|64.5646|-165.3732|338.0|Anvil Mountain, AK, USA|2010-06-21T00:00:00|2599-12-31T23:59:59
AK|BAGL|60.4896|-142.0915|1470.0|Bagley Icefield, AK, USA|2006-07-12T00:00:00|2599-12-31T23:59:59
AK|BAL|61.036|-142.3462|1318.0|Baldy Mountain, AK, USA|2010-06-18T00:00:00|2599-12-31T23:59:59
AK|BARK|60.403|-142.4931|1389.6|Barkley Ridge, AK, USA|2013-01-01T00:00:00|2599-12-31T23:59:59
AK|BARN|61.0595|-141.6622|1689.0|Barnard Glacier, AK, USA|2006-07-16T00:00:00|2599-12-31T23:59:59
AK|BCP|59.9534|-139.6369|421.8|Bancas Point, AK, USA|2011-08-15T00:00:00|2599-12-31T23:59:59
AK|BERG|60.3932|-143.7004|624.0|Berg Lake, AK, USA|2005-07-15T00:00:00|2599-12-31T23:59:59
AK|BGLC|60.1205|-143.2841|10.0|Bering Glacier BLM Camp, AK, USA|2005-07-16T00:00:00|2599-12-31T23:59:59
AK|BMR|60.9677|-144.6051|842.0|Bremner River, AK, USA|2000-08-07T00:00:00|2599-12-31T23:59:59
AK|BPAW|64.0997|-150.9873|619.0|Bear Paw Mountain, AK, USA|2004-05-13T00:00:00|2599-12-31T23:59:59
AK|BRLK|59.7511|-150.9063|409.0|Bradley Lake, AK, USA|2008-07-01T00:00:00|2599-12-31T23:59:59
AK|BRSE|59.7417|-150.7414|541.0|Bradley Lake South, AK, USA|2013-07-01T00:00:00|2599-12-31T23:59:59
AK|BWN|64.1732|-149.2991|356.0|Browne, AK, USA|2009-08-27T00:00:00|2023-08-22T23:59:59
AK|CAPN|60.7683|-151.1539|47.0|Captain Cook Nikiski, AK, USA|2013-07-01T00:00:00|2599-12-31T23:59:59
AK|CAST|63.4188|-152.0844|611.0|Castle Rocks, AK, USA|2006-08-05T00:00:00|2599-12-31T23:59:59
AK|CCB|64.6453|-147.8053|233.0|Clear Creek Butte, AK, USA|2009-01-28T00:00:00|2599-12-31T23:59:59
AK|CDVT|60.4936|-145.4696|152.0|Cordova Airport, AK, USA|2010-11-10T00:00:00|2599-12-31T23:59:59
AK|CHI|55.8218|-155.6225|203.0|Chirikof Island, AK, USA|2008-09-15T00:00:00|2599-12-31T23:59:59
AK|CHN|54.831|-159.5895|71.0|Chernabura Island, AK, USA|2013-06-27T00:00:00|2599-12-31T23:59:59
AK|CHUM|63.8827|-152.3152|217.0|Lake Minchumina, AK, USA|2004-06-02T00:00:00|2599-12-31T23:59:59
AK|CHX|60.0631|-141.1178|1085.0|Chaix Hills, AK, USA|2011-08-18T00:00:00|2599-12-31T23:59:59
AK|CNP|59.5251|-151.2373|564.0|China Poot, AK, USA|2008-07-24T00:00:00|2599-12-31T23:59:59
AK|COLD|67.2278|-150.207|374.0|Coldfoot Broadband, AK, USA|2016-08-11T00:00:00|2599-12-31T23:59:59
AK|CRQ|60.7523|-143.0926|1392.3|Cirque, AK, USA|2010-06-20T00:00:00|2599-12-31T23:59:59
AK|CTG|60.9649|-141.3401|1507.9|Chitna Glacier, AK, USA|2010-06-18T00:00:00|2021-06-26T23:59:59
AK|CUT|62.4058|-150.2625|574.0|Chulitna, AK, USA|2014-05-15T00:00:00|2599-12-31T23:59:59
AK|CYK|60.0823|-142.4872|23.0|Cape Yakataga, AK, USA|2010-07-21T00:00:00|2599-12-31T23:59:59
AK|DAM1|59.7554|-150.8513|354.0|Bradley Dam 1, AK, USA|2009-06-20T00:00:00|2599-12-31T23:59:59
AK|DAM2|59.7553|-150.8555|363.0|Bradley Dam 2, AK, USA|2009-06-20T00:00:00|2599-12-31T23:59:59
AK|DHY|63.0753|-147.3759|1611.0|Denali Highway, AK, USA|2008-07-09T00:00:00|2599-12-31T23:59:59
AK|DIV|61.1292|-145.7749|941.4|Divide Microwave, AK, USA|1999-01-07T00:00:00|2599-12-31T23:59:59
AK|DOT|63.6487|-144.0674|673.0|Dot Lake, AK, USA|2003-10-15T00:00:00|2599-12-31T23:59:59
AK|EYAK|60.5487|-145.75|133.9|Cordova Ski Area, AK, USA|2002-10-03T00:00:00|2599-12-31T23:59:59
AK|FA01|64.8348|-147.9371|263.0|Chena-GS Fire Station, Fairbanks, AK, USA|2002-11-15T00:00:00|2599-12-31T23:59:59
AK|FA02|64.8456|-148.009|194.0|Ester Fire Station, AK, USA|2002-10-11T00:00:00|2599-12-31T23:59:59
AK|FA05|64.8393|-147.7516|135.0|Denali Elem. School, Fairbanks, AK, USA|2003-08-13T00:00:00|2599-12-31T23:59:59
AK|FA06|64.8461|-147.6957|136.0|Nordale Education Center, Fairbanks, AK, USA|2003-08-13T00:00:00|2599-12-31T23:59:59
AK|FA07|64.8267|-147.6946|135.0|Arctic Light Elem. School, Fairbanks, AK, USA|2003-08-13T00:00:00|2599-12-31T23:59:59
AK|FA09|64.8377|-147.8172|135.0|DNR, Fairbanks, AK, USA|2003-07-28T00:00:00|2599-12-31T23:59:59
AK|FA10|64.8186|-147.7784|133.0|Bus Barn, Fairbanks, AK, USA|2003-06-30T00:00:00|2599-12-31T23:59:59
AK|FA11|64.8536|-147.8382|137.0|Cold Climate Housing Res. Cntr, Fairbanks, AK, USA|2015-02-04T00:00:00|2599-12-31T23:59:59
AK|FA12|64.8269|-147.8684|436.0|Watershed School, Fairbanks, AK, USA|2017-11-09T00:00:00|2599-12-31T23:59:59
AK|FALS|54.8564|-163.4176|60.6|False Pass, AK, USA|2002-06-19T00:00:00|2599-12-31T23:59:59
AK|FID|60.7277|-146.5987|500.0|Fidalgo, AK, USA|2010-07-26T00:00:00|2599-12-31T23:59:59
AK|FIRE|61.1426|-150.2164|62.0|Fire Island, AK, USA|2013-07-20T00:00:00|2599-12-31T23:59:59
AK|FYU|66.5657|-145.2342|137.0|Fort Yukon, AK, USA|2009-07-23T00:00:00|2599-12-31T23:59:59
AK|GCSA|64.7461|-156.8792|45.0|Galena City School, AK, USA|2000-06-24T00:00:00|2599-12-31T23:59:59
AK|GHO|61.771|-148.926|1032.0|Gloryhole, AK, USA|2011-05-30T00:00:00|2599-12-31T23:59:59
AK|GIB|64.859802|-147.849106|180.0|Geophysical Institute, Fairbanks, AK|2010-09-01T00:00:00|2599-12-31T23:59:59
AK|GLB|61.4417|-143.8123|854.9|Gilahina Butte, AK, USA|2010-09-12T00:00:00|2599-12-31T23:59:59
AK|GLI|60.8792|-147.0959|430.0|Glacier Island, AK, USA|2010-07-26T00:00:00|2599-12-31T23:59:59
AK|GOAT|60.5805|-144.7292|895.5|Goat Mountain, AK, USA|2006-08-08T00:00:00|2599-12-31T23:59:59
AK|GRIN|60.2805|-143.321|625.0|Grindle Hills, AK, USA|2005-07-22T00:00:00|2599-12-31T23:59:59
AK|GRNC|60.7315|-141.7558|2116.0|Granite Creek, AK, USA|2006-07-12T00:00:00|2599-12-31T23:59:59
AK|HDA|64.4091|-146.9482|437.0|Harding Lake, AK, USA|2012-10-01T00:00:00|2599-12-31T23:59:59
AK|HIN|60.396|-146.5035|622.9|Hinchinbrook, AK, USA|2009-11-01T00:00:00|2599-12-31T23:59:59
AK|HMT|60.3351|-144.2623|629.0|Hamilton, AK, USA|2011-07-16T00:00:00|2020-07-30T23:59:59
AK|HOM|59.6572|-151.6515|221.0|Homer Trailer, AK, USA|2009-06-18T00:00:00|2599-12-31T23:59:59
AK|ISLE|60.6024|-142.3406|1425.0|Juniper Island, AK, USA|2006-07-04T00:00:00|2599-12-31T23:59:59
AK|K203|61.2201|-149.7453|79.0|Anchorage, St Christopher Episcopal Church, AK, US|2009-07-01T00:00:00|2599-12-31T23:59:59
AK|K204|61.1758|-150.011505|30.0|Anchorage, Signature Flight Support, AK, USA|2009-07-01T00:00:00|2599-12-31T23:59:59
AK|K205|61.199402|-149.916306|51.0|Anchorage, West High School, AK, USA|2013-01-24T00:00:00|2599-12-31T23:59:59
AK|K208|61.1763|-149.9216|20.0|Anchorage, Spenard Recreation Center, AK, USA|1995-08-01T00:00:00|2599-12-31T23:59:59
AK|K209|61.184601|-149.747192|96.0|Anchorage, Scenic Park Bible Church, AK, USA|2009-07-01T00:00:00|2599-12-31T23:59:59
AK|K210|61.1292|-149.931|17.0|Anchorage, Mears Jr High School, AK, USA|1995-08-01T00:00:00|2599-12-31T23:59:59
AK|K211|61.149101|-149.857803|34.0|Anchorage, Fire Department HQ 12, AK, USA|2011-02-03T00:00:00|2599-12-31T23:59:59
AK|K212|61.155602|-149.793396|70.0|Anchorage, BLM Office, AK, USA|2009-07-01T00:00:00|2599-12-31T23:59:59
AK|K213|61.1128|-149.8595|51.0|Anchorage, ASD Operation Center, AK, USA|1995-08-01T00:00:00|2599-12-31T23:59:59
AK|K214|61.1235|-149.7677|175.0|Anchorage, OMalley Fire Station, AK, USA|2008-07-01T00:00:00|2599-12-31T23:59:59
AK|K215|61.086201|-149.752106|284.0|Anchorage, Rabbit Creek Fire Station, AK, USA|1995-08-01T00:00:00|2599-12-31T23:59:59
AK|K216|61.0981|-149.6867|721.0|Anchorage, AT&T Surface and Borehole, AK, USA|2009-07-01T00:00:00|2599-12-31T23:59:59
AK|K217|61.396|-149.515503|72.0|Chugiak Fire Station, AK, USA|1995-08-01T00:00:00|2599-12-31T23:59:59
AK|K218|61.5926|-149.1332|87.0|Palmer, National Tsunami Warning Center, AK, USA|2009-11-01T00:00:00|2599-12-31T23:59:59
AK|K220|61.154|-150.0552|68.0|Anchorage, Kincaid Park, AK, USA|2009-07-01T00:00:00|2599-12-31T23:59:59
AK|K221|61.1525|-149.9512|38.0|Anchorage, St. James Orthodox Church, AK, USA|2009-07-01T00:00:00|2599-12-31T23:59:59
AK|K222|61.0876|-149.8366|39.0|Anchorage, Chapel by the Sea, AK, USA|2009-07-01T00:00:00|2599-12-31T23:59:59
AK|K223|61.2338|-149.8675|43.0|Anchorage, Government Hill Elem. School, AK, USA|2009-11-03T00:00:00|2599-12-31T23:59:59
AK|KAI|59.9268|-144.4188|316.0|Kayak Island, AK, USA|2011-07-10T00:00:00|2599-12-31T23:59:59
AK|KHIT|60.4427|-143.251|1101.0|Khitrov Hills, AK, USA|2005-07-22T00:00:00|2599-12-31T23:59:59
AK|KIAG|60.9231|-142.3605|1752.2|Kiagna River, AK, USA|2006-07-14T00:00:00|2599-12-31T23:59:59
AK|KLU|61.4924|-145.9227|1047.1|Klutina Pass, AK, USA|2008-09-13T00:00:00|2599-12-31T23:59:59
AK|KNK|61.4131|-148.4585|598.0|Knik Glacier, AK, USA|2010-06-13T00:00:00|2599-12-31T23:59:59
